---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| localite                                                               | departement                                                          | region                                                                  |
| "Chaumont"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Haute-Marne"^^<http://www.w3.org/2001/XMLSchema#string>             | "Champagne-Ardenne"^^<http://www.w3.org/2001/XMLSchema#string>          |
| "Verdun"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Meuse"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Lorraine"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "Nevers"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Nièvre"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Bourgogne"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "Villeneuve-d'Ascq"^^<http://www.w3.org/2001/XMLSchema#string>         | "Nord"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Nord-Pas-de-Calais"^^<http://www.w3.org/2001/XMLSchema#string>         |
| "Lille"^^<http://www.w3.org/2001/XMLSchema#string>                     | "Nord"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Nord-Pas-de-Calais"^^<http://www.w3.org/2001/XMLSchema#string>         |
| "Loos"^^<http://www.w3.org/2001/XMLSchema#string>                      | "Nord"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Nord-Pas-de-Calais"^^<http://www.w3.org/2001/XMLSchema#string>         |
| "Roubaix"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Nord"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Nord-Pas-de-Calais"^^<http://www.w3.org/2001/XMLSchema#string>         |
| "Hénin-Beaumont"^^<http://www.w3.org/2001/XMLSchema#string>            | "Pas-de-Calais"^^<http://www.w3.org/2001/XMLSchema#string>           | "Nord-Pas-de-Calais"^^<http://www.w3.org/2001/XMLSchema#string>         |
| "Anglet"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Pyrénées-Atlantiques"^^<http://www.w3.org/2001/XMLSchema#string>    | "Aquitaine"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "Bayonne"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Pyrénées-Atlantiques"^^<http://www.w3.org/2001/XMLSchema#string>    | "Aquitaine"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "Tarbes"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Hautes-Pyrénées"^^<http://www.w3.org/2001/XMLSchema#string>         | "Midi-Pyrénées"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Illkirch-Graffenstaden"^^<http://www.w3.org/2001/XMLSchema#string>    | "Bas-Rhin"^^<http://www.w3.org/2001/XMLSchema#string>                | "Alsace"^^<http://www.w3.org/2001/XMLSchema#string>                     |
| "Bussy-Saint-Georges"^^<http://www.w3.org/2001/XMLSchema#string>       | "Seine-et-Marne"^^<http://www.w3.org/2001/XMLSchema#string>          | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Chelles"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Seine-et-Marne"^^<http://www.w3.org/2001/XMLSchema#string>          | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Conflans-Sainte-Honorine"^^<http://www.w3.org/2001/XMLSchema#string>  | "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>                | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Houilles"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>                | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Mantes-la-Jolie"^^<http://www.w3.org/2001/XMLSchema#string>           | "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>                | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Poissy"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>                | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Vélizy-Villacoublay"^^<http://www.w3.org/2001/XMLSchema#string>       | "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>                | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Versailles"^^<http://www.w3.org/2001/XMLSchema#string>                | "Yvelines"^^<http://www.w3.org/2001/XMLSchema#string>                | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Niort"^^<http://www.w3.org/2001/XMLSchema#string>                     | "Deux-Sèvres"^^<http://www.w3.org/2001/XMLSchema#string>             | "Poitou-Charentes"^^<http://www.w3.org/2001/XMLSchema#string>           |
| "Carpentras"^^<http://www.w3.org/2001/XMLSchema#string>                | "Vaucluse"^^<http://www.w3.org/2001/XMLSchema#string>                | "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> |
| "Orange"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Vaucluse"^^<http://www.w3.org/2001/XMLSchema#string>                | "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> |
| "Brétigny-sur-Orge"^^<http://www.w3.org/2001/XMLSchema#string>         | "Essonne"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Savigny-sur-Orge"^^<http://www.w3.org/2001/XMLSchema#string>          | "Essonne"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Viry-Châtillon"^^<http://www.w3.org/2001/XMLSchema#string>            | "Essonne"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Antony"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Hauts-de-Seine"^^<http://www.w3.org/2001/XMLSchema#string>          | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Boulogne-Billancourt"^^<http://www.w3.org/2001/XMLSchema#string>      | "Hauts-de-Seine"^^<http://www.w3.org/2001/XMLSchema#string>          | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Issy-les-Moulineaux"^^<http://www.w3.org/2001/XMLSchema#string>       | "Hauts-de-Seine"^^<http://www.w3.org/2001/XMLSchema#string>          | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Meudon"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Hauts-de-Seine"^^<http://www.w3.org/2001/XMLSchema#string>          | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Nanterre"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Hauts-de-Seine"^^<http://www.w3.org/2001/XMLSchema#string>          | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Saint-Cloud"^^<http://www.w3.org/2001/XMLSchema#string>               | "Hauts-de-Seine"^^<http://www.w3.org/2001/XMLSchema#string>          | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Créteil"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Val-de-Marne"^^<http://www.w3.org/2001/XMLSchema#string>            | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Fresnes"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Val-de-Marne"^^<http://www.w3.org/2001/XMLSchema#string>            | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Maisons-Alfort"^^<http://www.w3.org/2001/XMLSchema#string>            | "Val-de-Marne"^^<http://www.w3.org/2001/XMLSchema#string>            | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Saint-André"^^<http://www.w3.org/2001/XMLSchema#string>               | "La Réunion"^^<http://www.w3.org/2001/XMLSchema#string>              | "La Réunion"^^<http://www.w3.org/2001/XMLSchema#string>                 |
| "Saint-Denis"^^<http://www.w3.org/2001/XMLSchema#string>               | "La Réunion"^^<http://www.w3.org/2001/XMLSchema#string>              | "La Réunion"^^<http://www.w3.org/2001/XMLSchema#string>                 |
| "Saint-Pierre"^^<http://www.w3.org/2001/XMLSchema#string>              | "La Réunion"^^<http://www.w3.org/2001/XMLSchema#string>              | "La Réunion"^^<http://www.w3.org/2001/XMLSchema#string>                 |
| "Soissons"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Aisne"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Picardie"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "Moulins"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Allier"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Auvergne"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "Antibes"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Alpes-Maritimes"^^<http://www.w3.org/2001/XMLSchema#string>         | "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> |
| "Cannes"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Alpes-Maritimes"^^<http://www.w3.org/2001/XMLSchema#string>         | "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> |
| "Grasse"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Alpes-Maritimes"^^<http://www.w3.org/2001/XMLSchema#string>         | "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> |
| "Menton"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Alpes-Maritimes"^^<http://www.w3.org/2001/XMLSchema#string>         | "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> |
