-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| natalite                                         | nbHopitaux                                    | impMoyen                                            | impMoyenReg                   | departement                                            | region                                                                  |
| "9.4"^^<http://www.w3.org/2001/XMLSchema#float>  | "237"^^<http://www.w3.org/2001/XMLSchema#int> | "5069"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4695.846153846153846153846153 | "Sarthe"^^<http://www.w3.org/2001/XMLSchema#string>    | "Pays de la Loire"^^<http://www.w3.org/2001/XMLSchema#string>           |
| "10.9"^^<http://www.w3.org/2001/XMLSchema#float> | "134"^^<http://www.w3.org/2001/XMLSchema#int> | "4958"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4772.6                        | "Orne"^^<http://www.w3.org/2001/XMLSchema#string>      | "Basse-Normandie"^^<http://www.w3.org/2001/XMLSchema#string>            |
| "9.5"^^<http://www.w3.org/2001/XMLSchema#float>  | "336"^^<http://www.w3.org/2001/XMLSchema#int> | "6570"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 5052.096774193548387096774193 | "Loire"^^<http://www.w3.org/2001/XMLSchema#string>     | "Rhône-Alpes"^^<http://www.w3.org/2001/XMLSchema#string>                |
| "7.9"^^<http://www.w3.org/2001/XMLSchema#float>  | "214"^^<http://www.w3.org/2001/XMLSchema#int> | "5364"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 5052.096774193548387096774193 | "Savoie"^^<http://www.w3.org/2001/XMLSchema#string>    | "Rhône-Alpes"^^<http://www.w3.org/2001/XMLSchema#string>                |
| "9.5"^^<http://www.w3.org/2001/XMLSchema#float>  | "336"^^<http://www.w3.org/2001/XMLSchema#int> | "6436"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 5052.096774193548387096774193 | "Loire"^^<http://www.w3.org/2001/XMLSchema#string>     | "Rhône-Alpes"^^<http://www.w3.org/2001/XMLSchema#string>                |
| "7.4"^^<http://www.w3.org/2001/XMLSchema#float>  | "202"^^<http://www.w3.org/2001/XMLSchema#int> | "8374"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 5052.096774193548387096774193 | "Ain"^^<http://www.w3.org/2001/XMLSchema#string>       | "Rhône-Alpes"^^<http://www.w3.org/2001/XMLSchema#string>                |
| "10.1"^^<http://www.w3.org/2001/XMLSchema#float> | "534"^^<http://www.w3.org/2001/XMLSchema#int> | "4725"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4659.205882352941176470588235 | "Var"^^<http://www.w3.org/2001/XMLSchema#string>       | "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> |
| "9.1"^^<http://www.w3.org/2001/XMLSchema#float>  | "294"^^<http://www.w3.org/2001/XMLSchema#int> | "5026"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4659.205882352941176470588235 | "Vaucluse"^^<http://www.w3.org/2001/XMLSchema#string>  | "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> |
| "9.1"^^<http://www.w3.org/2001/XMLSchema#float>  | "294"^^<http://www.w3.org/2001/XMLSchema#int> | "6150"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4659.205882352941176470588235 | "Vaucluse"^^<http://www.w3.org/2001/XMLSchema#string>  | "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
